HUMAN PLAYER POSITION (X) metres,HUMAN PLAYER POSITION (Y) metres,INITITAL VELOCITY OF SHUTTELCOCK(m/s),INITIAL SHUTTELCOCK FIRING ANGLE (DEGREE),SHUTTELCOCK SLANT ANGLE TO SIDELINE(DEGREE),SHUTTLECOCK POSITIION IN AIR(X ) metres,SHUTTLECOCK POSITIION IN AIR(Y) metres,SHUTTLECOCK POSITIION IN AIR(Z) metres,SHOT_ID
4,1,70,70,7,9.273410976,1.647493451,2.042535932,515
4,1,70,70,7,9.32711778,1.654087818,1.465527238,515
4,1,70,70,7,9.374676612,1.659927308,0.861392284,515
4,1,70,70,7,9.412390709,1.664558017,0.232105773,515
4,1,70,70,8,4.236270303,1.033205626,2.238368159,517
4,1,70,70,8,4.470004209,1.066054784,2.836779788,517
4,1,70,70,8,4.694386204,1.097589617,3.393839258,517
4,1,70,70,8,4.915532247,1.128669666,3.912728774,517
4,1,70,70,8,5.130979908,1.15894886,4.396427113,517
4,1,70,70,8,5.345460133,1.18909209,4.840396693,517
4,1,70,70,8,5.547691307,1.217513828,5.245263076,517
4,1,70,70,8,5.74935167,1.245855344,5.613689808,517
4,1,70,70,8,5.94374332,1.273175309,5.944148631,517
4,1,70,70,8,6.135850658,1.300174234,6.237725045,517
4,1,70,70,8,6.320641034,1.326144828,6.495304025,517
4,1,70,70,8,6.501074217,1.351503058,6.717886236,517
4,1,70,70,8,6.675716566,1.37604744,6.903855263,517
4,1,70,70,8,6.846078042,1.399990184,7.055128483,517
4,1,70,70,8,7.011258673,1.423204807,7.167548347,517
4,1,70,70,8,7.170127768,1.445532403,7.248104891,517
4,1,70,70,8,7.322577877,1.466957868,7.294489625,517
4,1,70,70,8,7.474266827,1.48827636,7.304868058,517
4,1,70,70,8,7.61868545,1.508573074,7.282628616,517
4,1,70,70,8,7.754718912,1.52769133,7.226373586,517
4,1,70,70,8,7.889316534,1.546607792,7.139907877,517
4,1,70,70,8,8.017556701,1.564630772,7.016649221,517
4,1,70,70,8,8.141402096,1.582036107,6.862887593,517
4,1,70,70,8,8.261417724,1.598903204,6.675427904,517
4,1,70,70,8,8.373737594,1.614688732,6.457328273,517
4,1,70,70,8,8.480867613,1.629744875,6.206895927,517
4,1,70,70,8,8.586220537,1.644551262,5.924685549,517
4,1,70,70,8,8.68217517,1.658036807,5.614117409,517
4,1,70,70,8,8.773508614,1.670872885,5.271553674,517
4,1,70,70,8,8.859688712,1.682984708,4.897459762,517
4,1,70,70,8,8.942664151,1.694646145,4.494601039,517
4,1,70,70,8,9.020153416,1.705536551,4.062109683,517
4,1,70,70,8,9.091268407,1.715531112,3.600132539,517
4,1,70,70,8,9.156471343,1.724694787,3.10878154,517
4,1,70,70,8,9.218961907,1.733477263,2.588701261,517
4,1,70,70,8,9.275435982,1.741414176,2.040516877,517
4,1,70,70,8,9.327013877,1.748662977,1.468104726,517
4,1,70,70,8,9.37239449,1.755040806,0.861757872,517
4,1,70,70,8,9.413916314,1.760876318,0.230286569,517
4,1,70,70,9,4.23697879,1.037533753,2.238664276,519
4,1,70,70,9,4.467867249,1.074102892,2.835684314,519
4,1,70,70,9,4.694248288,1.109958126,3.395294734,519
4,1,70,70,9,4.915858651,1.14505776,3.914629749,519
4,1,70,70,9,5.132913759,1.179435912,4.398607908,519
4,1,70,70,9,5.341992393,1.212550714,4.841102503,519
4,1,70,70,9,5.550676381,1.245603011,5.246504163,519
4,1,70,70,9,5.749163094,1.277040218,5.612562954,519
4,1,70,70,9,5.947511475,1.308455515,5.944287369,519
4,1,70,70,9,6.135722857,1.338265269,6.236942253,519
4,1,70,70,9,6.320801115,1.367578786,6.497336163,519
4,1,70,70,9,6.502737887,1.39639474,6.717963849,519
4,1,70,70,9,6.677432435,1.424063638,6.905215845,519
4,1,70,70,9,6.845997201,1.450761674,7.053364926,519
4,1,70,70,9,7.011868243,1.477033066,7.168821865,519
4,1,70,70,9,7.170125466,1.502098548,7.247353199,519
4,1,70,70,9,7.324190856,1.526500108,7.295836449,519
4,1,70,70,9,7.47315276,1.550093356,7.304643182,519
4,1,70,70,9,7.617707417,1.572988565,7.284624474,519
4,1,70,70,9,7.756357636,1.594948602,7.228310806,519
4,1,70,70,9,7.891002455,1.616274246,7.137779906,519
4,1,70,70,9,8.020139406,1.63672753,7.018162905,519
4,1,70,70,9,8.141768978,1.655991762,6.861315376,519
4,1,70,70,9,8.260000218,1.67471775,6.675377636,519
4,1,70,70,9,8.371752095,1.692417509,6.457187234,519
4,1,70,70,9,8.480469624,1.709636674,6.205375357,519
4,1,70,70,9,8.584441974,1.726104276,5.924242699,519
4,1,70,70,9,8.681594708,1.741491758,5.612704389,519
4,1,70,70,9,8.771369049,1.755710616,5.271610984,519
4,1,70,70,9,8.85998792,1.769746467,4.897335969,519
4,1,70,70,9,8.94255375,1.782823609,4.494994046,519
4,1,70,70,9,9.020463995,1.79516338,4.062939204,519
4,1,70,70,9,9.092678533,1.806601039,3.600567937,519
4,1,70,70,9,9.158431126,1.817015227,3.110182735,519
4,1,70,70,9,9.220513651,1.826848133,2.589284936,519
4,1,70,70,9,9.27680991,1.835764584,2.040473343,519
4,1,70,70,9,9.327120122,1.843732939,1.465271357,519
4,1,70,70,9,9.373789197,1.851124594,0.861542224,519
4,1,70,70,9,9.41428593,1.857538647,0.231029014,519
4,1,70,70,10,4.23682651,1.041758903,2.236283982,521
4,1,70,70,10,4.470092918,1.082890065,2.836112206,521
4,1,70,70,10,4.694290775,1.122422196,3.395325588,521
4,1,70,70,10,4.916286732,1.161566073,3.914788663,521
4,1,70,70,10,5.132272865,1.199650256,4.395319793,521
4,1,70,70,10,5.343213677,1.236844812,4.83987364,521
4,1,70,70,10,5.548527259,1.273047136,5.246145138,521
4,1,70,70,10,5.750904419,1.30873169,5.613616351,521
4,1,70,70,10,5.94560308,1.343062317,5.945032685,521
4,1,70,70,10,6.137135824,1.376834707,6.239991811,521
4,1,70,70,10,6.322305834,1.409485176,6.496989848,521
4,1,70,70,10,6.503251109,1.44139071,6.717423967,521
4,1,70,70,10,6.676624188,1.471961062,6.904057413,521
4,1,70,70,10,6.845457668,1.501730959,7.053209478,521
4,1,70,70,10,7.009773113,1.530704206,7.168983399,521
4,1,70,70,10,7.172127915,1.559331738,7.247911866,521
4,1,70,70,10,7.325375688,1.586353455,7.293484922,521
4,1,70,70,10,7.473902489,1.612542737,7.305040234,521
4,1,70,70,10,7.620282134,1.638353418,7.284059406,521
4,1,70,70,10,7.757078601,1.662474326,7.227588515,521
4,1,70,70,10,7.889813925,1.685879145,7.13703866,521
4,1,70,70,10,8.016623978,1.708239179,7.016685205,521
4,1,70,70,10,8.140273819,1.730041982,6.860804611,521
4,1,70,70,10,8.259770961,1.751112552,6.677239086,521
4,1,70,70,10,8.371397982,1.770795408,6.457796113,521
4,1,70,70,10,8.482960337,1.790466861,6.207944522,521
4,1,70,70,10,8.58398187,1.808279683,5.927793183,521
4,1,70,70,10,8.681108027,1.825405645,5.613428632,521
4,1,70,70,10,8.774268343,1.841832322,5.271719824,521
4,1,70,70,10,8.861797303,1.857266039,4.8994635,521
4,1,70,70,10,8.9439733,1.871755885,4.495542289,521
4,1,70,70,10,9.020461269,1.885242777,4.062470894,521
4,1,70,70,10,9.092031805,1.897862594,3.599236726,521
4,1,70,70,10,9.157489017,1.909404466,3.108498128,521
4,1,70,70,10,9.219420301,1.920324623,2.589211195,521
4,1,70,70,10,9.274368075,1.930013398,2.042235239,521
4,1,70,70,10,9.327740457,1.939424389,1.465789816,521
4,1,70,70,10,9.37130673,1.947106298,0.863202044,521
4,1,70,70,10,9.413837738,1.954605662,0.231929858,521
4,1,70,70,11,4.235811237,1.045837061,2.238190839,523
4,1,70,70,11,4.468951556,1.091154948,2.835669475,523
4,1,70,70,11,4.695127001,1.135119001,3.394261971,523
4,1,70,70,11,4.917908802,1.178423397,3.915227035,523
4,1,70,70,11,5.133612389,1.220351927,4.39785711,523
4,1,70,70,11,5.343684114,1.261185733,4.839596793,523
4,1,70,70,11,5.550439695,1.301374947,5.244928588,523
4,1,70,70,11,5.750911362,1.340342692,5.613754642,523
4,1,70,70,11,5.945870975,1.378239002,5.944818055,523
4,1,70,70,11,6.135392134,1.415078183,6.23750194,523
4,1,70,70,11,6.321540553,1.45126177,6.495410901,523
4,1,70,70,11,6.502000851,1.486339699,6.719071437,523
4,1,70,70,11,6.675610278,1.520085953,6.904569355,523
4,1,70,70,11,6.846289415,1.553262616,7.051748807,523
4,1,70,70,11,7.011063154,1.585291387,7.168670403,523
4,1,70,70,11,7.170652716,1.616312455,7.248823574,523
4,1,70,70,11,7.325196132,1.646352652,7.294435226,523
