SHOT_ID,HUMAN PLAYER POSITION (X) metres,HUMAN PLAYER POSITION (Y) metres,INITITAL VELOCITY OF SHUTTELCOCK(m/s),INITIAL SHUTTELCOCK FIRING ANGLE (DEGREE),SHUTTELCOCK SLANT ANGLE TO SIDELINE(DEGREE),SHUTTLECOCK POSITIION IN AIR(X ) metres,SHUTTLECOCK POSITIION IN AIR(Y) metres,SHUTTLECOCK POSITIION IN AIR(Z) metres
25300032,4,1,70,70,2,9.019368689,1.175280217,4.063512247
25300033,4,1,70,70,2,9.090942975,1.177779646,3.600534981
25300034,4,1,70,70,2,9.156957633,1.180084929,3.107361918
25300035,4,1,70,70,2,9.217938879,1.182214441,2.588950875
25300036,4,1,70,70,2,9.276543122,1.184260946,2.041877543
25300037,4,1,70,70,2,9.325670679,1.185976518,1.464949852
25300038,4,1,70,70,2,9.371290933,1.187569613,0.862154429
25300039,4,1,70,70,2,9.414053969,1.189062931,0.229982098
25400001,4,1,70,70,3,4.238036166,1.012474947,2.236905028
25400002,4,1,70,70,3,4.467255847,1.024487841,2.835401653
25400003,4,1,70,70,3,4.694630279,1.03640403,3.395106621
25400004,4,1,70,70,3,4.91745157,1.048081599,3.91453889
25400005,4,1,70,70,3,5.13108948,1.059277888,4.395779439
25400006,4,1,70,70,3,5.345493559,1.070514329,4.840012209
25400007,4,1,70,70,3,5.550684333,1.081267922,5.24607654
25400008,4,1,70,70,3,5.749126681,1.091667845,5.614964923
25400009,4,1,70,70,3,5.944660194,1.101915322,5.946404797
25400010,4,1,70,70,3,6.136314176,1.111959482,6.238820462
25400011,4,1,70,70,3,6.322383518,1.121710963,6.498217187
25400012,4,1,70,70,3,6.500639505,1.131052963,6.717921998
25400013,4,1,70,70,3,6.673726752,1.140124081,6.904442806
25400014,4,1,70,70,3,6.847917914,1.149253053,7.052347001
25400015,4,1,70,70,3,7.010852949,1.157792117,7.168995609
25400016,4,1,70,70,3,7.169328486,1.166097468,7.250115145
25400017,4,1,70,70,3,7.323550592,1.174179906,7.292256594
25400018,4,1,70,70,3,7.473483375,1.18203755,7.307730001
25400019,4,1,70,70,3,7.617617675,1.189591309,7.283290686
25400020,4,1,70,70,3,7.757278965,1.196910647,7.227940507
25400021,4,1,70,70,3,7.891440256,1.203941742,7.137162961
25400022,4,1,70,70,3,8.019129843,1.21063367,7.017040371
25400023,4,1,70,70,3,8.141698739,1.217057233,6.863110136
25400024,4,1,70,70,3,8.258855923,1.223197181,6.676172504
25400025,4,1,70,70,3,8.372784711,1.229167936,6.456927631
25400026,4,1,70,70,3,8.480499937,1.234813052,6.207382496
25400027,4,1,70,70,3,8.582818028,1.240175316,5.925051972
25400028,4,1,70,70,3,8.68171951,1.245358523,5.611764073
25400029,4,1,70,70,3,8.773502032,1.250168641,5.270950856
25400030,4,1,70,70,3,8.860787545,1.254743081,4.897290331
25400031,4,1,70,70,3,8.943646861,1.259085554,4.496293501
25400032,4,1,70,70,3,9.018203425,1.262992897,4.061466197
25400033,4,1,70,70,3,9.09020249,1.266766209,3.600420617
25400034,4,1,70,70,3,9.155988079,1.270213885,3.109955585
25400035,4,1,70,70,3,9.219118006,1.273522385,2.591186515
25400036,4,1,70,70,3,9.277299083,1.276571526,2.042604506
25400037,4,1,70,70,3,9.32601495,1.279124616,1.465490113
25400038,4,1,70,70,3,9.372341718,1.281552499,0.861559808
25400039,4,1,70,70,3,9.413101856,1.283688647,0.230442789
25500001,4,1,70,70,4,4.237259803,1.016590822,2.237701694
25500002,4,1,70,70,4,4.46940741,1.032824164,2.835405633
25500003,4,1,70,70,4,4.694176602,1.048541557,3.395269969
25500004,4,1,70,70,4,4.915844251,1.064042069,3.915537558
25500005,4,1,70,70,4,5.133464542,1.079259562,4.398353535
25500006,4,1,70,70,4,5.344128508,1.093990621,4.840937792
25500007,4,1,70,70,4,5.547450414,1.108208274,5.245132771
25500008,4,1,70,70,4,5.749589658,1.122343227,5.61529985
25500009,4,1,70,70,4,5.944108235,1.135945291,5.946503971
25500010,4,1,70,70,4,6.137485236,1.149467528,6.238226685
25500011,4,1,70,70,4,6.3209712,1.162298117,6.498338955
25500012,4,1,70,70,4,6.502224941,1.174972613,6.718480177
25500013,4,1,70,70,4,6.676402671,1.187152306,6.903662239
25500014,4,1,70,70,4,6.847935078,1.199147021,7.054052796
25500015,4,1,70,70,4,7.009981994,1.210478445,7.168784168
25500016,4,1,70,70,4,7.171608778,1.221780491,7.248737864
25500017,4,1,70,70,4,7.325592964,1.232548114,7.295049405
25500018,4,1,70,70,4,7.474110334,1.24293346,7.30572163
25500019,4,1,70,70,4,7.617045572,1.252928466,7.282826889
25500020,4,1,70,70,4,7.757733298,1.26276631,7.229214985
25500021,4,1,70,70,4,7.890549009,1.272053689,7.139388123
25500022,4,1,70,70,4,8.020141555,1.281115682,7.017199843
25500023,4,1,70,70,4,8.142052635,1.289640536,6.861809038
25500024,4,1,70,70,4,8.26103507,1.297960598,6.676138176
25500025,4,1,70,70,4,8.372354868,1.305744837,6.457740504
25500026,4,1,70,70,4,8.480752413,1.313324731,6.206129188
25500027,4,1,70,70,4,8.58388516,1.320536476,5.92660038
25500028,4,1,70,70,4,8.681827773,1.32738529,5.612982827
25500029,4,1,70,70,4,8.77291047,1.333754413,5.269832465
25500030,4,1,70,70,4,8.858742962,1.339756405,4.897942733
25500031,4,1,70,70,4,8.944097327,1.345724964,4.492272353
25500032,4,1,70,70,4,9.017740616,1.350874604,4.062869292
25500033,4,1,70,70,4,9.091551413,1.356035958,3.599040229
25500034,4,1,70,70,4,9.158305234,1.36070384,3.109123347
25500035,4,1,70,70,4,9.219345681,1.364972204,2.589033646
