SHOT_ID,X,Y,Z
2,4.150606869,1.002628853,2.725872343
2,4.227415908,1.003969559,2.787845096
2,4.300908038,1.005252369,2.846120842
2,4.376173107,1.006566126,2.905997422
2,4.452713462,1.007902143,2.961946214
2,4.52459172,1.009156783,3.017831344
2,4.597557499,1.010430405,3.073699484
2,4.666380711,1.011631719,3.129398126
2,4.738617212,1.012892611,3.179470959
2,4.810861476,1.01415364,3.232530699
2,4.881009234,1.015378073,3.283463451
2,4.950994138,1.016599664,3.332054205
2,5.020745577,1.01781718,3.381927042
2,5.089712265,1.019020998,3.430621776
2,5.156519737,1.020187127,3.476701544
2,5.227162981,1.02142021,3.52109968
2,5.293484217,1.022577851,3.566257426
2,5.357546751,1.023696067,3.611332221
2,5.424601017,1.024866503,3.653232303
2,5.492259816,1.026047492,3.698320914
2,5.55804323,1.027195746,3.738559776
2,5.621133583,1.028296992,3.778201978
2,5.685975912,1.029428819,3.817200977
2,5.751043911,1.030564585,3.855823269
2,5.811360169,1.031617409,3.892638727
2,5.876227085,1.032749666,3.929977503
2,5.937024264,1.033810884,3.966633872
2,5.998287951,1.034880246,4.004077554
2,6.061102266,1.035976674,4.037749718
2,6.119658061,1.036998769,4.071304034
2,6.180407953,1.038059162,4.104585879
2,6.239028102,1.039082381,4.136556615
2,6.298336889,1.04011762,4.169575746
2,6.358228512,1.041163032,4.200033829
2,6.414421693,1.042143887,4.230073549
2,6.473928598,1.043182584,4.258717409
2,6.531295051,1.044183919,4.28591215
2,6.585234082,1.045125429,4.314503622
2,6.640785895,1.046095089,4.340943583
2,6.697220584,1.04708016,4.367060201
2,6.751361815,1.048025199,4.393382963
2,6.804760862,1.048957283,4.414838249
2,6.859147984,1.049906614,4.440571233
2,6.912722244,1.050841756,4.462572148
2,6.964949978,1.051753394,4.485166403
2,7.017341032,1.052667884,4.504129423
2,7.068566328,1.053562024,4.525444352
2,7.11898514,1.054442088,4.545458548
2,7.167651676,1.055291566,4.563090068
2,7.218830462,1.056184895,4.578228707
2,7.267914374,1.057041658,4.596347764
2,7.319243268,1.057937607,4.610265937
2,7.366873874,1.058769002,4.624147978
2,7.416318595,1.059632063,4.638109093
2,7.462435137,1.06043703,4.650812745
2,7.508741407,1.061245309,4.661945228
2,7.556023285,1.062070617,4.671622883
2,7.600924047,1.062854363,4.680356119
2,7.645196803,1.063627147,4.687853413
2,7.690732341,1.064421973,4.695378842
2,7.736161076,1.065214934,4.697962726
2,7.777742866,1.065940747,4.705936517
2,7.82059331,1.066688704,4.70572573
2,7.863997314,1.067446324,4.70610149
2,7.905961542,1.068178812,4.708122917
2,7.946841217,1.06889237,4.706171664
2,7.986555567,1.069585586,4.702857597
2,8.028933953,1.070325304,4.699952307
2,8.068974355,1.071024212,4.694721088
2,8.109513474,1.071731825,4.688736557
2,8.145682697,1.072363161,4.677783516
2,8.185526262,1.073058633,4.668355028
2,8.22337714,1.073719322,4.656500836
2,8.26083419,1.074373137,4.643215236
2,8.297070449,1.075005644,4.626737743
2,8.332094093,1.075616984,4.610748667
2,8.368413428,1.07625094,4.592235887
2,8.403304231,1.076859961,4.570121612
2,8.43872131,1.077478169,4.547545598
2,8.471331936,1.078047389,4.524664468
2,8.505476642,1.078643387,4.499073546
2,8.539735571,1.079241379,4.470405752
2,8.569638604,1.079763339,4.438242168
2,8.60360368,1.080356201,4.408265804
2,8.63418269,1.08088996,4.370951041
2,8.665541781,1.081437335,4.33294141
2,8.695502044,1.081960293,4.294450074
2,8.724787583,1.082471474,4.252449759
2,8.756044687,1.083017069,4.207413246
2,8.785632078,1.083533519,4.160328974
2,8.812890126,1.08400931,4.110465794
2,8.837908257,1.084446003,4.058940456
2,8.865660806,1.084930425,4.006261888
2,8.892634856,1.085401259,3.945113247
2,8.919927309,1.085877651,3.88551278
2,8.946130817,1.086335035,3.823453374
2,8.973127989,1.086806272,3.756589199
2,8.996171339,1.087208495,3.689046964
2,9.018449408,1.08759736,3.61543326
2,9.041865313,1.088006086,3.540867159
2,9.065257024,1.08841439,3.461428784
2,9.088247525,1.088815691,3.38016968
2,9.110536257,1.089204742,3.294652472
2,9.130910988,1.089560384,3.207111222
2,9.152265613,1.089933131,3.114903793
2,9.171457684,1.09026813,3.019141611
2,9.19125682,1.090613725,2.922307429
2,9.213819465,1.091007557,2.816055108
2,9.230718586,1.091302533,2.710967951
2,9.248388598,1.091610964,2.599186546
2,9.266119908,1.091920465,2.484591096
2,9.283572339,1.092225098,2.365023037
2,9.300597917,1.092522281,2.243856587
2,9.315330624,1.092779441,2.116601218
2,9.333312691,1.093093319,1.985819997
2,9.346229422,1.093318782,1.849619357
2,9.361945112,1.0935931,1.708697387
2,9.375796438,1.093834876,1.562925
2,9.388444455,1.094055648,1.415629563
2,9.400850265,1.094272192,1.258332472
2,9.414299739,1.094506953,1.100997624
2,9.426930904,1.094727431,0.93629219
2,9.436701415,1.094897976,0.768692369
2,9.448211687,1.095098889,0.593365987
2,9.456289418,1.095239886,0.41318062
2,9.469035411,1.095462368,0.23292331
3,4.07577116,1.002645987,2.663805365
3,4.152274311,1.005317536,2.727080669
3,4.227106665,1.007930739,2.788022257
3,4.299468261,1.010457662,2.84600314
3,4.37651017,1.013148025,2.905913601
3,4.449740709,1.015705292,2.961355042
3,4.522723679,1.018253913,3.017729744
3,4.596314654,1.020823767,3.071869936
3,4.668333151,1.023338708,3.128171006
3,4.738672834,1.025795024,3.180259027
3,4.812120078,1.028359858,3.232761721
3,4.881161689,1.030770844,3.283622702
3,4.950232693,1.033182857,3.331208052
3,5.02116751,1.035659955,3.380826685
3,5.090477075,1.038080299,3.428354431
3,5.157295323,1.040413643,3.47635128
3,5.225900764,1.042809398,3.522524714
3,5.29391235,1.045184415,3.566058768
3,5.361433453,1.047542304,3.610374771
3,5.426613609,1.049818445,3.654337918
